word1,type,len,pos1,stemmed1,priorpolarity
abandoned,weaksubj,1,adj,n,negative
abandonment,weaksubj,1,noun,n,negative
abandon,weaksubj,1,verb,y,negative
abase,strongsubj,1,verb,y,negative
abasement,strongsubj,1,anypos,y,negative
abash,strongsubj,1,verb,y,negative
abate,weaksubj,1,verb,y,negative
abdicate,weaksubj,1,verb,y,negative
aberration,strongsubj,1,adj,n,negative
aberration,strongsubj,1,noun,n,negative
abhor,strongsubj,1,anypos,y,negative
abhor,strongsubj,1,verb,y,negative
abhorred,strongsubj,1,adj,n,negative
abhorrence,strongsubj,1,noun,n,negative
abhorrent,strongsubj,1,adj,n,negative
abhorrently,strongsubj,1,anypos,n,negative
abhors,strongsubj,1,adj,n,negative
abhors,strongsubj,1,noun,n,negative
abidance,strongsubj,1,adj,n,positive
abidance,strongsubj,1,noun,n,positive
abide,strongsubj,1,anypos,y,positive
abject,strongsubj,1,adj,n,negative
abjectly,strongsubj,1,adverb,n,negative
abjure,weaksubj,1,verb,y,negative
abilities,weaksubj,1,noun,n,positive
ability,weaksubj,1,noun,n,positive
able,weaksubj,1,adj,n,positive
abnormal,weaksubj,1,adj,n,negative
abolish,weaksubj,1,verb,y,negative
abominable,strongsubj,1,adj,n,negative
abominably,strongsubj,1,anypos,n,negative
abominate,strongsubj,1,verb,y,negative
abomination,strongsubj,1,noun,n,negative
above,weaksubj,1,anypos,n,positive
above,weaksubj,1,average,adj,n positive
abound,weaksubj,1,verb,y,positive
abrade,weaksubj,1,verb,y,negative
abrasive,strongsubj,1,adj,n,negative
abrupt,weaksubj,1,adj,n,negative
abscond,strongsubj,1,verb,y,negative
absence,weaksubj,1,noun,n,negative
absentee,weaksubj,1,anypos,y,negative
absent,strongsubj,1,minded,adj,n negative
absolve,strongsubj,1,verb,y,positive
absolute,strongsubj,1,adj,n,neutral
absolutely,strongsubj,1,adj,n,neutral
absorbed,weaksubj,1,verb,n,neutral
absurd,strongsubj,1,adj,n,negative
absurdity,strongsubj,1,noun,n,negative
absurdly,strongsubj,1,anypos,n,negative
absurdness,strongsubj,1,noun,n,negative
abundant,weaksubj,1,adj,n,positive
abundance,weaksubj,1,noun,n,positive
abuse,weaksubj,1,adj,n,negative
abuse,weaksubj,1,noun,n,negative
abuse,strongsubj,1,verb,y,negative
abuses,weaksubj,1,adj,n,negative
abuses,weaksubj,1,noun,n,negative
abusive,strongsubj,1,adj,n,negative
abysmal,strongsubj,1,adj,n,negative
abysmally,strongsubj,1,anypos,n,negative
abyss,strongsubj,1,noun,n,negative
accede,strongsubj,1,verb,y,positive
accentuate,strongsubj,1,verb,y,neutral
accept,weaksubj,1,verb,y,positive
acceptance,weaksubj,1,noun,n,positive
acceptable,weaksubj,1,adj,n,positive
accessible,weaksubj,1,adj,n,positive
accidental,weaksubj,1,adj,n,negative
acclaim,strongsubj,1,noun,n,positive
acclaim,strongsubj,1,verb,y,positive
acclaimed,strongsubj,1,adj,n,positive
acclamation,strongsubj,1,anypos,y,positive
accolade,strongsubj,1,noun,n,positive
accolades,strongsubj,1,noun,n,positive
accommodative,weaksubj,1,adj,n,positive
accomplish,weaksubj,1,verb,y,positive
accomplishment,weaksubj,1,noun,n,positive
accomplishments,weaksubj,1,noun,n,positive
accord,weaksubj,1,verb,y,positive
accordance,weaksubj,1,noun,n,positive
accordantly,weaksubj,1,adverb,n,positive
accost,weaksubj,1,verb,y,negative
accountable,weaksubj,1,adj,n,negative
accurate,weaksubj,1,adj,n,positive
accurately,weaksubj,1,adj,n,positive
accursed,strongsubj,1,adj,n,negative
accusation,strongsubj,1,adj,n,negative
accusation,strongsubj,1,noun,n,negative
accusations,strongsubj,1,adj,n,negative
accusations,strongsubj,1,noun,n,negative
accuse,strongsubj,1,verb,y,negative
accuses,strongsubj,1,verb,n,negative
accusing,strongsubj,1,anypos,n,negative
accusingly,strongsubj,1,anypos,n,negative
acerbate,strongsubj,1,verb,y,negative
acerbic,strongsubj,1,adj,n,negative
acerbically,strongsubj,1,adverb,n,negative
ache,strongsubj,1,verb,y,negative
achievable,weaksubj,1,adj,n,positive
achieve,weaksubj,1,verb,y,positive
achievement,weaksubj,1,anypos,n,positive
achievements,weaksubj,1,anypos,n,positive
acknowledge,weaksubj,1,verb,y,positive
acknowledgement,weaksubj,1,noun,n,positive
acquit,weaksubj,1,verb,y,positive
acrid,strongsubj,1,adj,n,negative
acridly,strongsubj,1,anypos,n,negative
acridness,strongsubj,1,noun,n,negative
acrimonious,strongsubj,1,adj,n,negative
acrimoniously,strongsubj,1,anypos,n,negative
acrimony,strongsubj,1,noun,n,negative
active,weaksubj,1,adj,n,positive
activist,strongsubj,1,adj,n,neutral
activist,strongsubj,1,noun,n,neutral
actual,strongsubj,1,anypos,n,neutral
actuality,strongsubj,1,anypos,n,neutral
actually,strongsubj,1,anypos,n,neutral
acumen,strongsubj,1,noun,n,positive
adamant,strongsubj,1,adj,n,negative
adamantly,strongsubj,1,anypos,n,negative
adaptable,weaksubj,1,adj,n,positive
adaptability,weaksubj,1,noun,n,positive
adaptive,weaksubj,1,adj,n,positive
addict,weaksubj,1,noun,n,negative
addiction,weaksubj,1,noun,n,negative
adept,weaksubj,1,adj,n,positive
adeptly,weaksubj,1,adverb,n,positive
adequate,weaksubj,1,adj,n,positive
adherence,weaksubj,1,noun,n,positive
adherent,weaksubj,1,adj,n,positive
adhesion,weaksubj,1,noun,n,positive
admirable,strongsubj,1,adj,n,positive
admirer,strongsubj,1,noun,n,positive
admirable,strongsubj,1,anypos,n,positive
admirably,strongsubj,1,anypos,n,positive
admiration,strongsubj,1,noun,n,positive
admire,strongsubj,1,verb,y,positive
admiring,strongsubj,1,adj,n,positive
admiringly,strongsubj,1,adj,n,positive
admission,weaksubj,1,adj,n,positive
admission,weaksubj,1,noun,n,positive
admit,strongsubj,1,verb,y,positive
admittedly,strongsubj,1,anypos,y,positive
admonish,strongsubj,1,verb,y,negative
admonisher,strongsubj,1,anypos,y,negative
admonishingly,strongsubj,1,anypos,y,negative
admonishment,strongsubj,1,anypos,y,negative
admonition,strongsubj,1,noun,n,negative
adolescents,strongsubj,1,adj,n,neutral
adolescents,strongsubj,1,noun,n,neutral
adorable,strongsubj,1,adj,n,positive
adore,strongsubj,1,verb,y,positive
adored,strongsubj,1,adj,n,positive
adorer,strongsubj,1,anypos,y,positive
adorer,strongsubj,1,noun,n,positive
adoring,strongsubj,1,adj,n,positive
adoringly,strongsubj,1,anypos,n,positive
adrift,weaksubj,1,anypos,n,negative
adroit,strongsubj,1,adj,n,positive
adroitly,strongsubj,1,adj,n,positive
adulate,strongsubj,1,verb,y,positive
adulation,strongsubj,1,anypos,y,positive
adulatory,strongsubj,1,adj,n,positive
adulterate,strongsubj,1,verb,y,negative
adulterated,strongsubj,1,anypos,n,negative
adulteration,strongsubj,1,noun,n,negative
advanced,weaksubj,1,adj,n,positive
advantage,weaksubj,1,adj,n,positive
advantage,weaksubj,1,noun,n,positive
advantageous,strongsubj,1,adj,n,positive
advantages,weaksubj,1,adj,n,positive
advantages,weaksubj,1,noun,n,positive
adventure,weaksubj,1,adj,n,positive
adventure,weaksubj,1,noun,n,positive
adventuresome,strongsubj,1,noun,n,positive
adventurism,strongsubj,1,noun,n,positive
adventurous,weaksubj,1,adj,n,positive
adversarial,weaksubj,1,adj,n,negative
adversary,weaksubj,1,noun,y,negative
adverse,weaksubj,1,adj,n,negative
adversity,strongsubj,1,noun,n,negative
advice,weaksubj,1,adj,n,positive
advice,weaksubj,1,noun,n,positive
advisable,weaksubj,1,noun,n,positive
advocate,strongsubj,1,verb,y,positive
advocacy,strongsubj,1,noun,n,positive
affable,strongsubj,1,adj,n,positive
affability,weaksubj,1,noun,n,positive
affably,weaksubj,1,adverb,n,positive
affect,weaksubj,1,verb,y,neutral
affectation,weaksubj,1,noun,n,negative
affected,strongsubj,1,adj,n,neutral
affection,strongsubj,1,adj,n,positive
affection,strongsubj,1,noun,n,positive
affectionate,strongsubj,1,adj,n,positive
affinity,weaksubj,1,noun,n,positive
affirm,strongsubj,1,verb,y,positive
affirmation,strongsubj,1,adj,n,positive
affirmation,strongsubj,1,noun,n,positive
affirmative,weaksubj,1,noun,n,positive
afflict,weaksubj,1,verb,y,negative
affliction,weaksubj,1,noun,n,negative
afflictive,strongsubj,1,adj,n,negative
affluent,weaksubj,1,adj,n,positive
affluence,weaksubj,1,noun,n,positive
afford,weaksubj,1,verb,y,positive
affordable,weaksubj,1,adj,n,positive
affront,strongsubj,1,noun,n,negative
affront,strongsubj,1,verb,y,negative
afloat,weaksubj,1,adj,n,positive
afraid,strongsubj,1,adj,n,negative
against,weaksubj,1,anypos,n,negative
aggravate,strongsubj,1,verb,y,negative
aggravating,strongsubj,1,adj,n,negative
aggravation,strongsubj,1,noun,n,negative
aggression,strongsubj,1,adj,n,negative
aggression,strongsubj,1,noun,n,negative
aggressive,strongsubj,1,anypos,y,negative
aggressiveness,strongsubj,1,noun,n,negative
aggressor,strongsubj,1,noun,n,negative
aggrieve,strongsubj,1,verb,y,negative
aggrieved,strongsubj,1,adj,n,negative
aghast,strongsubj,1,adj,n,negative
agile,weaksubj,1,adj,n,positive
agilely,weaksubj,1,adverb,n,positive
agility,weaksubj,1,noun,n,positive
agitate,strongsubj,1,verb,y,negative
agitated,strongsubj,1,adj,n,negative
agitation,strongsubj,1,noun,n,negative
agitator,strongsubj,1,noun,n,negative
agonies,strongsubj,1,noun,n,negative
agonize,strongsubj,1,verb,y,negative
agonizing,strongsubj,1,adj,n,negative
agonizing,strongsubj,1,anypos,y,negative
agonizingly,strongsubj,1,anypos,n,negative
agony,strongsubj,1,noun,n,negative
agree,strongsubj,1,verb,y,positive
agreeability,strongsubj,1,anypos,y,positive
agreeable,weaksubj,1,adj,n,positive
agreeable,strongsubj,1,anypos,y,positive
agreeableness,strongsubj,1,anypos,y,positive
agreeably,strongsubj,1,anypos,y,positive
agreement,weaksubj,1,adj,n,positive
agreement,weaksubj,1,noun,n,positive
aha,strongsubj,1,anypos,y,neutral
ail,weaksubj,1,noun,n,negative
ail,weaksubj,1,verb,y,negative
ailment,weaksubj,1,noun,n,negative
aimless,strongsubj,1,adj,n,negative
air,strongsubj,1,verb,y,neutral
airs,weaksubj,1,adj,n,negative
airs,weaksubj,1,noun,n,negative
alarm,weaksubj,1,adj,n,negative
alarm,weaksubj,1,verb,y,negative
alarmed,strongsubj,1,adj,n,negative
alarming,strongsubj,1,adj,n,negative
alarmingly,strongsubj,1,anypos,n,negative
alas,strongsubj,1,anypos,y,negative
alert,weaksubj,1,adj,n,neutral
alienate,weaksubj,1,verb,y,negative
alienated,weaksubj,1,adj,n,negative
alienation,weaksubj,1,noun,n,negative
all,weaksubj,1,time,adj,n neutral
all,weaksubj,1,time,noun,n neutral
allay,strongsubj,1,verb,y,positive
allegation,strongsubj,1,anypos,n,negative
allegations,strongsubj,1,adj,n,negative
allege,weaksubj,1,verb,n,negative
allegations,strongsubj,1,noun,n,negative
allegorize,strongsubj,1,verb,y,neutral
allergic,weaksubj,1,adj,n,negative
alleviate,weaksubj,1,verb,y,positive
alliance,strongsubj,1,anypos,n,neutral
alliances,strongsubj,1,adj,n,neutral
alliances,strongsubj,1,noun,n,neutral
allow,weaksubj,1,verb,y,positive
allowable,weaksubj,1,adj,n,positive
allure,strongsubj,1,verb,y,positive
allure,strongsubj,1,noun,n,positive
alluring,strongsubj,1,anypos,n,positive
alluringly,strongsubj,1,anypos,n,positive
allusion,strongsubj,1,adj,n,neutral
allusion,strongsubj,1,noun,n,neutral
allusions,strongsubj,1,anypos,n,neutral
ally,strongsubj,1,noun,y,positive
almighty,strongsubj,1,adj,n,positive
aloof,strongsubj,1,adj,n,negative
altercation,weaksubj,1,noun,n,negative
although,weaksubj,1,anypos,y,negative
altogether,strongsubj,1,anypos,n,neutral
altruist,strongsubj,1,noun,n,positive
altruistic,strongsubj,1,adj,n,positive
altruistically,strongsubj,1,adj,n,positive
amaze,strongsubj,1,verb,y,positive
amazed,strongsubj,1,adj,n,positive
amazement,strongsubj,1,noun,n,positive
amazing,strongsubj,1,adj,n,positive
amazing,strongsubj,1,anypos,y,positive
amazingly,strongsubj,1,anypos,n,positive
ambiguous,strongsubj,1,adj,n,negative
ambiguity,strongsubj,1,noun,n,negative
